DATUM;PRIS;SUBSTANSVÄRDE;BERÄKNAT_SUBSTANSVÄRDE
2014-03-03;27.6;33.47;.00
2014-03-04;27.6;33.47;.00
2014-03-05;27.5;33.47;.00
2014-03-06;27.6;33.47;.00
2014-03-07;27.5;33.47;.00
2014-03-10;27.7;33.47;.00
2014-03-11;27.6;33.47;.00
2014-03-12;27.4;33.47;.00
2014-03-13;27.4;33.47;.00
2014-03-14;27.4;33.47;.00
2014-03-17;27.4;33.47;.00
2014-03-18;27.4;33.47;.00
2014-03-19;28;33.47;.00
2014-03-20;27.6;33.47;.00
2014-03-21;28;33.47;.00
2014-03-24;27.8;33.47;.00
2014-03-25;27.8;33.47;.00
2014-03-26;27.6;33.47;.00
2014-03-27;27.7;33.47;.00
2014-03-28;27.2;33.47;.00
2014-03-31;27.5;33.47;.00
2014-04-01;27.6;33.47;.00
2014-04-02;27.8;33.47;.00
2014-04-03;28;33.47;.00
2014-04-04;28;33.47;.00
2014-04-07;27.7;33.47;.00
2014-04-08;27.9;33.47;.00
2014-04-09;28.1;33.47;.00
2014-04-10;28;33.47;.00
2014-04-11;27.7;33.47;.00
2014-04-14;27.6;33.47;.00
2014-04-15;27.2;33.47;.00
2014-04-16;27.5;33.47;.00
2014-04-17;27.6;33.47;.00
2014-04-18;27.6;33.47;.00
2014-04-21;27.6;33.47;.00
2014-04-22;28;33.47;.00
2014-04-23;28.3;33.47;.00
2014-04-24;28.8;33.47;.00
2014-04-25;28.2;36.83;.00
2014-04-28;28.4;36.83;.00
2014-04-29;28.5;36.83;.00
2014-04-30;28.7;36.83;.00
2014-05-01;28.7;36.83;.00
2014-05-02;28.8;36.83;.00
2014-05-05;29.3;36.83;.00
2014-05-06;29.1;36.83;.00
2014-05-07;29.4;36.83;.00
2014-05-08;29.8;36.83;.00
2014-05-09;29.7;36.83;.00
2014-05-12;29.8;36.83;.00
2014-05-13;29.8;36.83;.00
2014-05-14;29.7;36.83;.00
2014-05-15;29.8;36.83;.00
2014-05-16;30;36.83;.00
2014-05-19;30.5;36.83;.00
2014-05-20;31;36.83;.00
2014-05-21;30.9;36.83;.00
2014-05-22;30.9;36.83;.00
2014-05-23;30.9;36.83;.00
2014-05-26;30.8;36.83;.00
2014-05-27;30.9;36.83;.00
2014-05-28;30.8;36.83;.00
2014-05-29;30.8;36.83;.00
2014-05-30;30.8;36.83;.00
2014-06-02;30.4;36.83;.00
2014-06-03;30;36.83;.00
2014-06-04;30.9;36.83;.00
2014-06-05;31.1;36.83;.00
2014-06-06;31.1;36.83;.00
2014-06-09;31.4;36.83;.00
2014-06-10;31.5;36.83;.00
2014-06-11;31.4;36.83;.00
2014-06-12;31.4;36.83;.00
2014-06-13;30.7;36.83;.00
2014-06-16;29.8;36.83;.00
2014-06-17;29.5;36.83;.00
2014-06-18;29.3;36.83;.00
2014-06-19;29.7;36.83;.00
2014-06-20;29.7;36.83;.00
2014-06-23;30.2;36.83;.00
2014-06-24;29.8;36.83;.00
2014-06-25;30;36.83;.00
2014-06-26;29.9;36.83;.00
2014-06-27;29.7;36.83;.00
2014-06-30;30;36.83;.00
2014-07-01;29.9;36.83;.00
2014-07-02;30.4;36.83;.00
2014-07-03;31;36.83;.00
2014-07-04;30.8;36.83;.00
2014-07-07;30.4;36.83;.00
2014-07-08;30.5;36.83;.00
2014-07-09;30.3;36.83;.00
2014-07-10;30.3;36.83;.00
2014-07-11;30.2;36.83;.00
2014-07-14;30.2;36.83;.00
2014-07-15;30;36.83;.00
2014-07-16;30.1;36.83;.00
2014-07-17;30;36.83;.00
2014-07-18;29.6;36.83;.00
2014-07-21;29.6;36.83;.00
2014-07-22;29.5;36.83;.00
2014-07-23;29.8;36.83;.00
2014-07-24;29.7;36.83;.00
2014-07-25;29.8;36.83;.00
2014-07-28;29.9;36.83;.00
2014-07-29;30.3;36.83;.00
2014-07-30;30;36.83;.00
2014-07-31;29.8;36.83;.00
2014-08-01;29.1;36.83;.00
2014-08-04;29.3;36.83;.00
2014-08-05;29.6;36.83;.00
2014-08-06;28.8;36.83;.00
2014-08-07;28.6;36.83;.00
2014-08-08;28.5;36.83;.00
2014-08-11;28.8;36.83;.00
2014-08-12;28.8;36.83;.00
2014-08-13;29.6;36.83;.00
2014-08-14;29.8;37.97;.00
2014-08-15;29.6;37.97;.00
2014-08-18;29.8;37.97;.00
2014-08-19;29.7;37.97;.00
2014-08-20;29.7;37.97;.00
2014-08-21;29.5;37.97;.00
2014-08-22;29.7;37.97;.00
2014-08-25;30.1;37.97;.00
2014-08-26;30.2;37.97;.00
2014-08-27;30.6;37.97;.00
2014-08-28;30;37.97;.00
2014-08-29;30.3;37.97;.00
2014-09-01;30.3;37.97;.00
2014-09-02;30.3;37.97;.00
2014-09-03;29.9;37.97;.00
2014-09-04;29.8;37.97;.00
2014-09-05;29.6;37.97;.00
2014-09-08;29.7;37.97;.00
2014-09-09;29.5;37.97;.00
2014-09-10;29.3;37.97;.00
2014-09-11;29.2;37.97;.00
2014-09-12;29.5;37.97;.00
2014-09-15;30.2;37.97;.00
2014-09-16;30.4;37.97;.00
2014-09-17;29.9;37.97;.00
2014-09-18;30.2;37.97;.00
2014-09-19;30.5;37.97;.00
2014-09-22;30.5;37.97;.00
2014-09-23;30.6;37.97;.00
2014-09-24;30.6;37.97;.00
