DATUM;PRIS;SUBSTANSVÄRDE;BERÄKNAT_SUBSTANSVÄRDE
2014-03-03;186.5;189;0
2014-03-04;185;189;0
2014-03-05;186;203;0
2014-03-06;187.5;203;0
2014-03-07;185;203;0
2014-03-10;185;203;0
2014-03-11;183;203;0
2014-03-12;181;203;0
2014-03-13;180;203;0
2014-03-14;178.5;203;0
2014-03-17;181.5;203;0
2014-03-18;186.5;203;0
2014-03-19;184.5;203;0
2014-03-20;181;203;0
2014-03-21;179.5;203;0
2014-03-24;174.5;203;0
2014-03-25;175;203;0
2014-03-26;174;203;0
2014-03-27;171;203;0
2014-03-28;172.5;203;0
2014-03-31;173;203;0
2014-04-01;173;203;0
2014-04-02;173;203;0
2014-04-03;175;203;0
2014-04-04;173.5;203;0
2014-04-07;175;203;0
2014-04-08;177;203;0
2014-04-09;176.5;203;0
2014-04-10;174.5;203;0
2014-04-11;174;203;0
2014-04-14;172;203;0
2014-04-15;170.5;195;0
2014-04-16;171;195;0
2014-04-17;170.5;195;0
2014-04-18;170.5;195;0
2014-04-21;170.5;195;0
2014-04-22;171.5;195;0
2014-04-23;173;195;0
2014-04-24;170.5;195;0
2014-04-25;172;195;0
2014-04-28;172.5;195;0
2014-04-29;171.5;195;0
2014-04-30;174;195;0
2014-05-01;174;195;0
2014-05-02;171.5;195;0
2014-05-05;174;195;0
2014-05-06;174;200;0
2014-05-07;175.5;200;0
2014-05-08;178;200;0
2014-05-09;178;200;0
2014-05-12;181;200;0
2014-05-13;182;200;0
2014-05-14;183.5;200;0
2014-05-15;183;200;0
2014-05-16;182;200;0
2014-05-19;182.5;200;0
2014-05-20;180;200;0
2014-05-21;178.5;200;0
2014-05-22;180.5;200;0
2014-05-23;180;200;0
2014-05-26;180;200;0
2014-05-27;182.5;200;0
2014-05-28;182.5;200;0
2014-05-29;182.5;200;0
2014-05-30;183;200;0
2014-06-02;183.5;200;0
2014-06-03;186;200;0
2014-06-04;185.5;204;0
2014-06-05;185;204;0
2014-06-06;185;204;0
2014-06-09;186.5;204;0
2014-06-10;185;204;0
2014-06-11;185;204;0
2014-06-12;185;204;0
2014-06-13;185;204;0
2014-06-16;182;204;0
2014-06-17;181;204;0
2014-06-18;178;204;0
2014-06-19;182;204;0
2014-06-20;182;204;0
2014-06-23;180;204;0
2014-06-24;177.5;204;0
2014-06-25;177;204;0
2014-06-26;178;204;0
2014-06-27;177;204;0
2014-06-30;180;204;0
2014-07-01;177.5;204;0
2014-07-02;178.5;204;0
2014-07-03;179.5;204;0
2014-07-04;178.5;204;0
2014-07-07;180.5;204;0
2014-07-08;184;204;0
2014-07-09;177.5;204;0
2014-07-10;180;204;0
2014-07-11;178;204;0
2014-07-14;180;204;0
2014-07-15;184;206;0
2014-07-16;184;206;0
2014-07-17;184;206;0
2014-07-18;182;206;0
2014-07-21;182;206;0
2014-07-22;178;206;0
2014-07-23;180;206;0
2014-07-24;178.5;206;0
2014-07-25;177.5;206;0
2014-07-28;178.5;206;0
2014-07-29;177;206;0
2014-07-30;175.5;206;0
2014-07-31;175.5;206;0
2014-08-01;170.5;206;0
2014-08-04;173;206;0
2014-08-05;173.5;206;0
2014-08-06;173;206;0
2014-08-07;173;206;0
2014-08-08;172;206;0
2014-08-11;173;206;0
2014-08-12;173;206;0
2014-08-13;174.5;193;0
2014-08-14;175;193;0
2014-08-15;175;193;0
2014-08-18;175;193;0
2014-08-19;180;193;0
2014-08-20;180;193;0
2014-08-21;179.5;193;0
2014-08-22;180;193;0
2014-08-25;180;193;0
2014-08-26;182;193;0
2014-08-27;182;193;0
2014-08-28;177.5;193;0
2014-08-29;182;193;0
2014-09-01;182.5;193;0
2014-09-02;180;193;0
2014-09-03;180;197;0
2014-09-04;179;197;0
2014-09-05;178;197;0
2014-09-08;174.5;197;0
2014-09-09;173;197;0
2014-09-10;175;197;0
2014-09-11;173;197;0
2014-09-12;174;197;0
2014-09-15;173.5;197;0
2014-09-16;171;197;0
2014-09-17;172;197;0
2014-09-18;173;197;0
2014-09-19;175.5;197;0
2014-09-22;174;197;0
2014-09-23;171;197;0
2014-09-24;170;197;0
2014-09-25;169;197;0
2014-09-26;173;197;0
2014-09-29;169.5;197;0
2014-09-30;170.5;197;0
2014-10-01;168;197;0
2014-10-02;167;197;0
2014-10-03;168;197;0
2014-10-06;167;197;0
2014-10-07;168;197;0
2014-10-08;158;197;0
2014-10-09;159;197;0
2014-10-10;158;197;0
2014-10-13;157;197;0
2014-10-14;159.5;190;0
2014-10-15;157.5;190;0
2014-10-16;156.5;190;0
2014-10-17;160.5;190;0
2014-10-20;160.5;190;0
2014-10-21;165;190;0
2014-10-22;164;190;0
2014-10-23;163;190;0
2014-10-24;166;190;0
2014-10-27;165;190;0
2014-10-28;169;190;0
2014-10-29;169.5;190;0
2014-10-30;171;190;0
2014-10-31;170.5;190;0
2014-11-03;171.5;192;0
2014-11-04;171.5;192;0
2014-11-05;171;192;0
2014-11-06;169;192;0
2014-11-07;171;192;0
2014-11-10;173;192;0
2014-11-11;172;192;0
2014-11-12;169;192;0
2014-11-13;169.5;192;0
2014-11-14;169;192;0
2014-11-17;171;192;0
2014-11-18;170;192;0
2014-11-19;171;192;0
2014-11-20;169;192;0
2014-11-21;171;192;0
2014-11-24;172;192;0
2014-11-25;172;192;0
2014-11-26;171;192;0
2014-11-27;173;192;0
2014-11-28;172;192;0
2014-12-01;171.5;192;0
2014-12-02;170;192;0
2014-12-03;173.5;197;0
2014-12-04;172;197;0
2014-12-05;172;197;0
2014-12-08;173;197;0
2014-12-09;170.5;197;0
2014-12-10;173.5;197;0
2014-12-11;172.5;197;0
2014-12-12;170;197;0
2014-12-15;172;197;0
2014-12-16;169;197;0
2014-12-17;168;197;0
2014-12-18;171;197;0
2014-12-19;171;197;0
2014-12-22;171;197;0
2014-12-23;171;197;0
2014-12-24;171;197;0
2014-12-25;171;197;0
2014-12-26;171;197;0
2014-12-29;170;197;0
2014-12-30;171;197;0
2014-12-31;171;197;0
2015-01-01;171;197;0
2015-01-02;171.5;197;0
2015-01-05;170;197;0
2015-01-06;170;197;0
2015-01-07;176;197;0
2015-01-08;172.5;197;0
2015-01-09;173;197;0
2015-01-12;173;197;0
2015-01-13;175;197;0
2015-01-14;174.5;197;0
2015-01-15;175;197;0
2015-01-16;177.5;197;0
2015-01-19;182;197;0
2015-01-20;188;200;0
2015-01-21;188;200;0
2015-01-22;187.5;200;0
