DATUM;PRIS;SUBSTANSVÄRDE;BERÄKNAT_SUBSTANSVÄRDE
2014-05-12;129.1;169;0
2014-05-13;130.1;169;0
2014-05-14;131.9;169;0
2014-05-15;132.6;169;0
2014-05-16;133;169;0
2014-05-19;134.8;169;0
2014-05-20;135;169;0
2014-05-21;134.8;169;0
2014-05-22;135;169;0
2014-05-23;135.5;169;0
2014-05-26;135.6;169;0
2014-05-27;135.9;169;0
2014-05-28;136.5;169;0
2014-05-29;136.5;169;0
2014-05-30;134.2;169;0
2014-06-02;133;169;0
2014-06-03;132.5;169;0
2014-06-04;131;169;0
2014-06-05;130.1;169;0
2014-06-06;130.1;169;0
2014-06-09;130;169;0
2014-06-10;130.3;169;0
2014-06-11;130.3;169;0
2014-06-12;130.2;169;0
2014-06-13;130.3;169;0
2014-06-16;130;169;0
2014-06-17;129.8;169;0
2014-06-18;130.9;169;0
2014-06-19;131.2;169;0
2014-06-20;131.2;169;0
2014-06-23;132.1;169;0
2014-06-24;131.8;169;0
2014-06-25;129.6;169;0
2014-06-26;130.2;169;0
2014-06-27;130.2;169;0
2014-06-30;132;169;0
2014-07-01;131.5;169;0
2014-07-02;132.3;169;0
2014-07-03;134.5;169;0
2014-07-04;132.7;156;0
2014-07-07;130.5;156;0
2014-07-08;128.7;156;0
2014-07-09;128.9;156;0
2014-07-10;127.5;156;0
2014-07-11;125.7;156;0
2014-07-14;127.9;156;0
2014-07-15;128.1;156;0
2014-07-16;129.8;156;0
2014-07-17;129.1;156;0
2014-07-18;128.7;156;0
2014-07-21;128.3;156;0
2014-07-22;129.7;156;0
2014-07-23;130;156;0
2014-07-24;130;156;0
2014-07-25;130.1;156;0
2014-07-28;130.3;156;0
2014-07-29;130.6;156;0
2014-07-30;130.2;156;0
2014-07-31;128.7;156;0
2014-08-01;126.4;156;0
2014-08-04;127.2;156;0
2014-08-05;127.5;156;0
2014-08-06;124.1;156;0
2014-08-07;122.6;156;0
2014-08-08;121.8;156;0
2014-08-11;123.3;156;0
2014-08-12;123.2;156;0
2014-08-13;123.2;156;0
2014-08-14;123.9;156;0
2014-08-15;123.4;156;0
2014-08-18;124.9;156;0
2014-08-19;126.2;156;0
2014-08-20;125.7;156;0
2014-08-21;126.4;156;0
2014-08-22;126.4;156;0
2014-08-25;126.9;156;0
2014-08-26;128.5;156;0
2014-08-27;128.6;156;0
2014-08-28;127.4;156;0
2014-08-29;126;156;0
2014-09-01;126.3;156;0
2014-09-02;126.1;156;0
2014-09-03;127.9;156;0
2014-09-04;128.1;156;0
2014-09-05;126.2;156;0
2014-09-08;126.3;156;0
2014-09-09;124.9;156;0
2014-09-10;125.3;156;0
2014-09-11;123.6;156;0
2014-09-12;126.7;156;0
2014-09-15;126.5;156;0
2014-09-16;125.6;156;0
2014-09-17;125.5;156;0
2014-09-18;126.4;156;0
2014-09-19;128.4;156;0
2014-09-22;127.2;156;0
2014-09-23;125.7;156;0
2014-09-24;125.6;156;0
2014-09-25;125.5;156;0
2014-09-26;125.5;156;0
2014-09-29;125.2;156;0
2014-09-30;126.1;156;0
2014-10-01;123.8;156;0
2014-10-02;121.4;153;0
2014-10-03;121.7;153;0
2014-10-06;122.1;152;0
2014-10-07;118.4;152;0
2014-10-08;118.5;152;0
2014-10-09;118.7;152;0
2014-10-10;116.4;152;0
2014-10-13;116.9;152;0
2014-10-14;116.9;152;0
2014-10-15;113.6;152;0
2014-10-16;114.1;152;0
2014-10-17;117.6;152;0
2014-10-20;117.4;152;0
2014-10-21;119.2;152;0
2014-10-22;121.1;152;0
2014-10-23;122;152;0
2014-10-24;123.9;152;0
2014-10-27;125.3;152;0
2014-10-28;127.6;152;0
2014-10-29;127.7;152;0
2014-10-30;128.6;152;0
