DATUM;PRIS;SUBSTANSVÄRDE;BERÄKNAT_SUBSTANSVÄRDE
2014-03-03;219.7;280.79;0
2014-03-04;225.6;280.79;0
2014-03-05;225.1;280.79;0
2014-03-06;225.8;280.79;0
2014-03-07;224.9;280.79;0
2014-03-10;225.4;280.79;0
2014-03-11;225.2;280.79;0
2014-03-12;222.4;280.79;0
2014-03-13;220.9;280.79;0
2014-03-14;218.8;280.79;0
2014-03-17;223.1;280.79;0
2014-03-18;224;280.79;0
2014-03-19;224.9;280.79;0
2014-03-20;224.5;280.79;0
2014-03-21;226.9;280.79;0
2014-03-24;224.7;280.79;0
2014-03-25;226.2;280.79;0
2014-03-26;227.9;280.79;0
2014-03-27;229.1;280.79;0
2014-03-28;229.9;280.79;0
2014-03-31;234.2;280.79;0
2014-04-01;239.6;280.79;0
2014-04-02;237;280.79;0
2014-04-03;236.1;280.79;0
2014-04-04;236.6;280.79;0
2014-04-07;234.6;280.79;0
2014-04-08;234.7;280.79;0
2014-04-09;237.8;280.79;0
2014-04-10;237.3;280.79;0
2014-04-11;235.9;280.79;0
2014-04-14;234.6;280.79;0
2014-04-15;231.4;280.79;0
2014-04-16;234;280.79;0
2014-04-17;235.2;280.79;0
2014-04-18;235.2;280.79;0
2014-04-21;235.2;280.79;0
2014-04-22;242.2;280.79;0
2014-04-23;240.5;296.65;0
2014-04-24;242.7;296.65;0
2014-04-25;243.1;296.65;0
2014-04-28;247.5;296.65;0
2014-04-29;249.2;296.65;0
2014-04-30;251.5;296.65;0
2014-05-01;251.5;296.65;0
2014-05-02;251.2;296.65;0
2014-05-05;253.1;296.65;0
2014-05-06;253.5;296.65;0
2014-05-07;242.5;296.65;0
2014-05-08;249.1;296.65;0
2014-05-09;248.6;296.65;0
2014-05-12;249.7;296.65;0
2014-05-13;253.6;296.65;0
2014-05-14;253.2;296.65;0
2014-05-15;253;296.65;0
2014-05-16;253.3;296.65;0
2014-05-19;253.6;296.65;0
2014-05-20;254;296.65;0
2014-05-21;256.4;296.65;0
2014-05-22;256.4;296.65;0
