DATUM;PRIS;SUBSTANSVÄRDE;BERÄKNAT_SUBSTANSVÄRDE
2014-03-03;242.1;236.29;0
2014-03-04;246;236.29;0
2014-03-05;242;236.29;0
2014-03-06;244.4;236.29;0
2014-03-07;242;236.29;0
2014-03-10;244.3;236.29;0
2014-03-11;245.2;236.29;0
2014-03-12;245;236.29;0
2014-03-13;245.9;236.29;0
2014-03-14;246.1;236.29;0
2014-03-17;250.2;236.29;0
2014-03-18;240.8;236.29;0
2014-03-19;241.6;236.29;0
2014-03-20;239.3;236.29;0
2014-03-21;235.4;236.29;0
2014-03-24;220.6;236.29;0
2014-03-25;230;236.29;0
2014-03-26;230.2;236.29;0
2014-03-27;228.6;236.29;0
2014-03-28;230.8;236.29;0
2014-03-31;239;236.29;0
2014-04-01;238;236.29;0
2014-04-02;237.8;236.29;0
2014-04-03;233.5;236.29;0
2014-04-04;229;236.29;0
2014-04-07;224;236.29;0
2014-04-08;220.1;236.29;0
2014-04-09;228;236.29;0
2014-04-10;234.5;236.29;0
2014-04-11;225.6;236.29;0
2014-04-14;222.1;236.29;0
2014-04-15;218.7;236.29;0
2014-04-16;220.5;236.29;0
2014-04-17;222.5;236.29;0
2014-04-18;222.5;236.29;0
2014-04-21;222.5;236.29;0
2014-04-22;224;236.29;0
2014-04-23;219.4;236.29;0
2014-04-24;229.1;236.29;0
2014-04-25;229;236.29;0
2014-04-28;225.1;236.29;0
2014-04-29;225.4;236.29;0
2014-04-30;228.5;236.29;0
2014-05-01;228.5;236.29;0
2014-05-02;230.6;236.29;0
2014-05-05;229;236.29;0
2014-05-06;224.5;236.29;0
2014-05-07;227.4;236.29;0
2014-05-08;228.4;236.29;0
2014-05-09;245.2;236.29;0
2014-05-12;256.8;236.29;0
2014-05-13;254.7;236.29;0
2014-05-14;256.7;236.29;0
2014-05-15;253.6;236.29;0
2014-05-16;249.4;236.29;0
2014-05-19;255.3;236.29;0
2014-05-20;254.3;236.29;0
2014-05-21;253.8;236.29;0
2014-05-22;261.2;236.29;0
2014-05-23;263.2;236.29;0
2014-05-26;271.5;236.29;0
2014-05-27;265.3;236.29;0
2014-05-28;267.5;236.29;0
2014-05-29;267.5;236.29;0
2014-05-30;265.5;236.29;0
2014-06-02;269;236.29;0
2014-06-03;268.6;236.29;0
2014-06-04;269.5;236.29;0
2014-06-05;253.4;236.29;0
2014-06-06;253.4;236.29;0
2014-06-09;260.4;236.29;0
2014-06-10;260.8;236.29;0
2014-06-11;263.7;236.29;0
2014-06-12;271.4;236.29;0
2014-06-13;270;236.29;0
2014-06-16;272.6;236.29;0
2014-06-17;271.3;236.29;0
2014-06-18;270;236.29;0
2014-06-19;272.4;236.29;0
2014-06-20;272.4;236.29;0
2014-06-23;270.5;236.29;0
2014-06-24;260.3;236.29;0
2014-06-25;262.3;236.29;0
2014-06-26;268.8;236.29;0
2014-06-27;276.2;236.29;0
2014-06-30;284.8;236.29;0
2014-07-01;285.2;236.29;0
2014-07-02;289.3;236.29;0
2014-07-03;299.3;236.29;0
2014-07-04;294.1;236.29;0
2014-07-07;293;236.29;0
2014-07-08;287;236.29;0
2014-07-09;287.4;236.29;0
2014-07-10;276.8;236.29;0
2014-07-11;276.3;236.29;0
2014-07-14;284;236.29;0
2014-07-15;277.3;236.29;0
2014-07-16;283.4;236.29;0
2014-07-17;279.2;236.29;0
2014-07-18;297.6;247;0
2014-07-21;284.9;247;0
2014-07-22;290.9;247;0
2014-07-23;288.5;247;0
2014-07-24;289.4;247;0
2014-07-25;286.9;247;0
2014-07-28;285.8;247;0
2014-07-29;289.7;247;0
2014-07-30;289.9;247;0
2014-07-31;287;247;0
2014-08-01;284.3;247;0
2014-08-04;281.9;247;0
2014-08-05;285.2;247;0
2014-08-06;271.9;247;0
2014-08-07;265.1;247;0
2014-08-08;264.1;247;0
2014-08-11;263.2;247;0
2014-08-12;258.3;247;0
2014-08-13;260.1;247;0
