DATUM;PRIS;SUBSTANSVÄRDE;BERÄKNAT_SUBSTANSVÄRDE
2014-03-03;188.5;212;0
2014-03-04;188.5;212;0
2014-03-05;187.6;212;0
2014-03-06;186.5;212;0
2014-03-07;184.8;212;0
2014-03-10;185.9;212;0
2014-03-11;188;212;0
2014-03-12;185.3;212;0
2014-03-13;183;212;0
2014-03-14;184;212;0
2014-03-17;187;212;0
2014-03-18;188.5;212;0
2014-03-19;187.9;212;0
2014-03-20;187;212;0
2014-03-21;184.1;212;0
2014-03-24;185.3;212;0
2014-03-25;189;212;0
2014-03-26;190.8;212;0
2014-03-27;191.6;212;0
2014-03-28;191.4;212;0
2014-03-31;195.7;212;0
2014-04-01;198.4;212;0
2014-04-02;195.7;212;0
2014-04-03;195.8;212;0
2014-04-04;193;212;0
2014-04-07;195.9;212;0
2014-04-08;193.3;212;0
2014-04-09;196.4;212;0
2014-04-10;194.6;212;0
2014-04-11;192;212;0
2014-04-14;191.3;212;0
2014-04-15;188.5;212;0
2014-04-16;187.3;212;0
2014-04-17;189;212;0
2014-04-18;189;212;0
2014-04-21;189;212;0
2014-04-22;194;212;0
2014-04-23;191.6;212;0
2014-04-24;190.6;212;0
2014-04-25;193.2;212;0
2014-04-28;196.9;212;0
2014-04-29;198.5;212;0
2014-04-30;195.2;212;0
2014-05-01;195.2;212;0
2014-05-02;197;212;0
2014-05-05;198;212;0
2014-05-06;196.4;220;0
2014-05-07;196;220;0
2014-05-08;197.2;220;0
2014-05-09;194.2;220;0
2014-05-12;193.9;220;0
2014-05-13;194;220;0
2014-05-14;195.8;220;0
2014-05-15;198.4;220;0
2014-05-16;196.5;220;0
2014-05-19;196.1;220;0
2014-05-20;198.8;220;0
2014-05-21;198.5;220;0
2014-05-22;197.6;220;0
2014-05-23;199.9;220;0
2014-05-26;202;220;0
2014-05-27;205;220;0
2014-05-28;205.3;220;0
2014-05-29;205.3;220;0
2014-05-30;201.6;220;0
2014-06-02;207;220;0
2014-06-03;208.1;220;0
2014-06-04;207.8;220;0
2014-06-05;205.1;220;0
2014-06-06;205.1;220;0
2014-06-09;203.5;220;0
2014-06-10;204.1;220;0
2014-06-11;203.5;220;0
2014-06-12;200.6;220;0
2014-06-13;200.7;220;0
2014-06-16;194.6;220;0
2014-06-17;193.3;220;0
2014-06-18;195;220;0
2014-06-19;194.7;220;0
2014-06-20;194.7;220;0
2014-06-23;195.4;220;0
2014-06-24;198.5;220;0
2014-06-25;196.1;220;0
2014-06-26;195.5;220;0
2014-06-27;196;220;0
2014-06-30;195.5;220;0
2014-07-01;196.5;220;0
2014-07-02;199.4;220;0
2014-07-03;206.7;220;0
2014-07-04;209.7;220;0
2014-07-07;209.1;220;0
2014-07-08;207.4;220;0
2014-07-09;203.3;220;0
2014-07-10;201;220;0
2014-07-11;202.1;220;0
2014-07-14;206.1;220;0
2014-07-15;200;220;0
2014-07-16;197.9;220;0
2014-07-17;198;220;0
2014-07-18;191.3;220;0
2014-07-21;190.1;220;0
2014-07-22;193.5;220;0
2014-07-23;195.5;220;0
2014-07-24;195.7;220;0
2014-07-25;196.6;220;0
2014-07-28;196.5;220;0
2014-07-29;196.7;220;0
2014-07-30;196.1;220;0
2014-07-31;190.2;220;0
2014-08-01;183.8;220;0
2014-08-04;183.9;220;0
2014-08-05;188.1;220;0
2014-08-06;181.5;220;0
2014-08-07;177.5;220;0
2014-08-08;176.7;220;0
2014-08-11;183.3;220;0
2014-08-12;185;220;0
2014-08-13;187;220;0
2014-08-14;186.9;220;0
2014-08-15;186.4;220;0
2014-08-18;186.1;220;0
2014-08-19;193.1;220;0
2014-08-20;189;223;0
2014-08-21;192.5;223;0
2014-08-22;192.7;223;0
2014-08-25;193.4;223;0
2014-08-26;193.8;223;0
2014-08-27;196;223;0
2014-08-28;195.9;223;0
2014-08-29;195.6;223;0
2014-09-01;197.1;223;0
2014-09-02;195.3;223;0
2014-09-03;192.9;223;0
2014-09-04;190.7;223;0
2014-09-05;189.5;223;0
2014-09-08;190.1;223;0
2014-09-09;190.2;223;0
2014-09-10;188.5;223;0
2014-09-11;188.9;223;0
2014-09-12;190.5;223;0
2014-09-15;188.3;223;0
2014-09-16;188;223;0
2014-09-17;189.6;223;0
2014-09-18;188.4;223;0
2014-09-19;190;223;0
2014-09-22;191;223;0
2014-09-23;187.7;223;0
2014-09-24;187;223;0
2014-09-25;185.1;223;0
2014-09-26;185.2;223;0
2014-09-29;188;223;0
2014-09-30;190.5;223;0
2014-10-01;189.1;223;0
2014-10-02;185.1;223;0
2014-10-03;187.5;223;0
2014-10-06;185.9;223;0
2014-10-07;180;223;0
2014-10-08;177.6;223;0
2014-10-09;179;223;0
2014-10-10;176.5;223;0
2014-10-13;175.1;223;0
2014-10-14;173;223;0
2014-10-15;171.2;223;0
2014-10-16;168.9;223;0
2014-10-17;174.4;223;0
2014-10-20;173.7;223;0
2014-10-21;178.5;223;0
2014-10-22;181.4;223;0
2014-10-23;186.6;223;0
2014-10-24;186.7;223;0
2014-10-27;185.7;223;0
2014-10-28;190.6;223;0
2014-10-29;191;223;0
2014-10-30;189.2;223;0
2014-10-31;191.6;223;0
2014-11-03;191.2;223;0
2014-11-04;191.2;223;0
2014-11-05;193;223;0
2014-11-06;193.5;233;0
2014-11-07;196;233;0
2014-11-10;196;233;0
2014-11-11;196;233;0
2014-11-12;198.4;233;0
2014-11-13;197;233;0
2014-11-14;195.8;233;0
2014-11-17;196.2;233;0
2014-11-18;199.9;233;0
2014-11-19;198.5;233;0
2014-11-20;197.9;233;0
2014-11-21;199.3;233;0
2014-11-24;202.4;233;0
2014-11-25;203.9;233;0
2014-11-26;203;233;0
2014-11-27;206.5;233;0
2014-11-28;207.5;233;0
2014-12-01;206;233;0
2014-12-02;203.9;233;0
2014-12-03;202.4;233;0
2014-12-04;200;233;0
2014-12-05;201.6;233;0
2014-12-08;201.9;233;0
2014-12-09;200.5;233;0
2014-12-10;202.6;233;0
2014-12-11;203;233;0
2014-12-12;202.7;233;0
2014-12-15;200.4;233;0
2014-12-16;201.2;233;0
2014-12-17;197.6;233;0
2014-12-18;200.3;233;0
2014-12-19;200.7;233;0
2014-12-22;201;233;0
2014-12-23;203;233;0
2014-12-24;203;233;0
2014-12-25;203;233;0
2014-12-26;203;233;0
2014-12-29;205.2;233;0
2014-12-30;203.3;233;0
2014-12-31;203.3;233;0
2015-01-01;203.3;233;0
2015-01-02;206;233;0
2015-01-05;210;233;0
2015-01-06;210;233;0
2015-01-07;204.1;233;0
2015-01-08;211.9;233;0
2015-01-09;210.9;233;0
2015-01-12;213.1;233;0
2015-01-13;214.1;233;0
2015-01-14;209.8;233;0
2015-01-15;214.9;233;0
2015-01-16;214;233;0
2015-01-19;213.5;233;0
2015-01-20;217.2;233;0
2015-01-21;218.9;233;0
2015-01-22;220.2;233;0
