DATUM;PRIS;SUBSTANSVÄRDE;BERÄKNAT_SUBSTANSVÄRDE
2014-03-03;290.9;345;0
2014-03-04;295.9;345;0
2014-03-05;294.8;345;0
2014-03-06;298.4;345;0
2014-03-07;297.3;345;0
2014-03-10;295.8;345;0
2014-03-11;297.4;345;0
2014-03-12;294.6;345;0
2014-03-13;292.8;345;0
2014-03-14;291.9;345;0
2014-03-17;298.1;345;0
2014-03-18;300.2;345;0
2014-03-19;302.9;345;0
2014-03-20;297.6;345;0
2014-03-21;300.4;345;0
2014-03-24;296;345;0
2014-03-25;298;345;0
2014-03-26;299.4;345;0
2014-03-27;299.8;345;0
2014-03-28;299.6;345;0
2014-03-31;306.1;345;0
2014-04-01;307.5;345;0
2014-04-02;308.7;345;0
2014-04-03;307.5;345;0
2014-04-04;308;345;0
2014-04-07;304.2;345;0
2014-04-08;303.5;345;0
2014-04-09;307.6;345;0
2014-04-10;299.9;345;0
2014-04-11;295.9;345;0
2014-04-14;292;345;0
2014-04-15;292;345;0
2014-04-16;293.9;345;0
2014-04-17;297.2;345;0
2014-04-18;297.2;345;0
2014-04-21;297.2;345;0
2014-04-22;306.5;345;0
2014-04-23;302.1;345;0
2014-04-24;306.5;345;0
2014-04-25;307.1;345;0
2014-04-28;305.4;345;0
2014-04-29;303.8;345;0
2014-04-30;303.5;345;0
2014-05-01;303.5;345;0
2014-05-02;305.8;345;0
2014-05-05;306.2;345;0
2014-05-06;307.3;345;0
2014-05-07;307.2;345;0
2014-05-08;312.4;345;0
2014-05-09;314.8;345;0
2014-05-12;318;345;0
2014-05-13;317.6;345;0
2014-05-14;318;345;0
2014-05-15;323;345;0
2014-05-16;319.2;345;0
2014-05-19;321.1;345;0
2014-05-20;323.4;345;0
2014-05-21;323.5;345;0
2014-05-22;325.4;345;0
2014-05-23;327.1;345;0
2014-05-26;331.1;345;0
2014-05-27;329.1;365;0
2014-05-28;329.8;365;0
2014-05-29;329.8;365;0
2014-05-30;330.1;365;0
2014-06-02;329.7;365;0
2014-06-03;323.9;365;0
2014-06-04;318.3;365;0
2014-06-05;320.1;365;0
2014-06-06;320.1;365;0
2014-06-09;328.2;365;0
2014-06-10;327;365;0
2014-06-11;326.7;365;0
2014-06-12;326.9;365;0
2014-06-13;317.1;365;0
2014-06-16;318.4;365;0
2014-06-17;318.6;365;0
2014-06-18;320.2;365;0
2014-06-19;322.8;365;0
2014-06-20;322.8;365;0
2014-06-23;323.5;365;0
2014-06-24;323.2;365;0
2014-06-25;321.8;365;0
2014-06-26;320.5;365;0
2014-06-27;321.8;365;0
2014-06-30;322.2;365;0
2014-07-01;322.3;365;0
2014-07-02;326.9;365;0
2014-07-03;336.2;365;0
2014-07-04;333.9;365;0
2014-07-07;327.7;365;0
2014-07-08;323.4;365;0
2014-07-09;320.6;365;0
2014-07-10;318.8;365;0
2014-07-11;316;365;0
2014-07-14;323.3;365;0
2014-07-15;319.4;365;0
2014-07-16;320.2;365;0
2014-07-17;317.8;365;0
2014-07-18;315;365;0
2014-07-21;313.8;365;0
2014-07-22;313.4;365;0
2014-07-23;314.6;365;0
2014-07-24;314.1;365;0
2014-07-25;311.6;365;0
2014-07-28;314.3;365;0
2014-07-29;316.2;365;0
2014-07-30;314.1;365;0
2014-07-31;309.7;365;0
2014-08-01;305.5;365;0
2014-08-04;305;365;0
2014-08-05;306.4;365;0
2014-08-06;298.4;365;0
2014-08-07;293.2;365;0
2014-08-08;290;365;0
2014-08-11;296.9;365;0
2014-08-12;297.1;365;0
2014-08-13;298.9;365;0
2014-08-14;299;365;0
2014-08-15;297.4;365;0
2014-08-18;300.1;365;0
2014-08-19;303;365;0
2014-08-20;303;365;0
2014-08-21;303.4;365;0
2014-08-22;304;365;0
2014-08-25;303.6;365;0
2014-08-26;303.5;365;0
2014-08-27;305;365;0
2014-08-28;303;376;0
2014-08-29;303.3;376;0
2014-09-01;301.3;376;0
2014-09-02;300;376;0
2014-09-03;300;376;0
2014-09-04;297.6;376;0
2014-09-05;295.8;376;0
2014-09-08;296.5;376;0
2014-09-09;292.5;376;0
2014-09-10;291.1;376;0
2014-09-11;290;376;0
2014-09-12;290.4;376;0
2014-09-15;290;376;0
2014-09-16;288.2;376;0
2014-09-17;290.3;376;0
2014-09-18;290.5;376;0
2014-09-19;291.2;376;0
2014-09-22;290.1;376;0
2014-09-23;287.8;376;0
2014-09-24;288.5;376;0
2014-09-25;287.7;376;0
2014-09-26;288.9;376;0
2014-09-29;288.4;376;0
2014-09-30;288.9;376;0
2014-10-01;286.3;376;0
2014-10-02;283.2;376;0
2014-10-03;286.5;376;0
2014-10-06;286.4;376;0
2014-10-07;280;376;0
2014-10-08;278;376;0
2014-10-09;280;376;0
2014-10-10;276.9;376;0
2014-10-13;275.3;376;0
2014-10-14;276.3;376;0
2014-10-15;270;376;0
2014-10-16;272.5;376;0
2014-10-17;283;376;0
2014-10-20;285.9;376;0
2014-10-21;292.3;376;0
2014-10-22;292.5;376;0
2014-10-23;303;376;0
2014-10-24;303.1;376;0
2014-10-27;303.5;376;0
2014-10-28;305.2;376;0
2014-10-29;305.8;376;0
2014-10-30;305.9;376;0
2014-10-31;309.9;376;0
2014-11-03;311.8;376;0
2014-11-04;311.8;376;0
2014-11-05;311.3;376;0
2014-11-06;314.5;376;0
2014-11-07;312.3;376;0
2014-11-10;316.8;376;0
2014-11-11;319.2;376;0
2014-11-12;321.1;376;0
2014-11-13;322.6;376;0
2014-11-14;325.4;376;0
2014-11-17;322.2;376;0
2014-11-18;326.7;376;0
2014-11-19;324.6;376;0
2014-11-20;323.1;376;0
2014-11-21;326.2;376;0
2014-11-24;327.7;361;0
2014-11-25;329;361;0
2014-11-26;329;361;0
2014-11-27;332;361;0
2014-11-28;335.3;361;0
2014-12-01;332.8;361;0
2014-12-02;333.2;361;0
2014-12-03;335.2;361;0
2014-12-04;328.2;361;0
2014-12-05;331.3;361;0
2014-12-08;335.4;361;0
2014-12-09;330.8;361;0
2014-12-10;333.1;361;0
2014-12-11;330;361;0
2014-12-12;326.8;361;0
2014-12-15;325.7;361;0
2014-12-16;323.3;361;0
2014-12-17;322.7;361;0
2014-12-18;336.4;361;0
