DATUM;PRIS;SUBSTANSVÄRDE;BERÄKNAT_SUBSTANSVÄRDE
2014-03-03;87.75;97;0
2014-03-04;88.25;97;0
2014-03-05;89.5;97;0
2014-03-06;90;97;0
2014-03-07;89.25;97;0
2014-03-10;88.75;96;0
2014-03-11;87.5;96;0
2014-03-12;86.75;96;0
2014-03-13;87;96;0
2014-03-14;87;96;0
2014-03-17;88;96;0
2014-03-18;88.75;96;0
2014-03-19;88.5;96;0
2014-03-20;87;96;0
2014-03-21;87;96;0
2014-03-24;87.25;97;0
2014-03-25;86.75;97;0
2014-03-26;87.75;97;0
2014-03-27;88.5;97;0
2014-03-28;89.5;97;0
2014-03-31;90;99;0
2014-04-01;91;99;0
2014-04-02;91.5;99;0
2014-04-03;91;99;0
2014-04-04;94.5;99;0
2014-04-07;93;102;0
2014-04-08;91.5;102;0
2014-04-09;92.25;102;0
2014-04-10;92.25;102;0
2014-04-11;90.75;102;0
2014-04-14;89.25;101;0
2014-04-15;90;101;0
2014-04-16;89.75;101;0
2014-04-17;90.5;101;0
2014-04-18;90.5;101;0
2014-04-21;90.5;101;0
2014-04-22;91.5;101;0
2014-04-23;92.75;101;0
2014-04-24;93;101;0
2014-04-25;92.75;101;0
2014-04-28;93.5;104;0
2014-04-29;92.75;104;0
2014-04-30;92.25;104;0
2014-05-01;92.25;104;0
2014-05-02;93.25;104;0
2014-05-05;93.75;103;0
2014-05-06;93.75;103;0
2014-05-07;94;103;0
2014-05-08;95.25;103;0
2014-05-09;96;103;0
2014-05-12;96.5;104;0
2014-05-13;96.75;104;0
2014-05-14;97.25;104;0
2014-05-15;97;104;0
2014-05-16;94.75;104;0
2014-05-19;94;103;0
2014-05-20;94.75;103;0
2014-05-21;94.25;103;0
2014-05-22;93.25;103;0
2014-05-23;93.75;103;0
2014-05-26;94.25;104;0
2014-05-27;94;104;0
2014-05-28;95;104;0
2014-05-29;95;104;0
2014-05-30;94.75;104;0
2014-06-02;95.5;106;0
2014-06-03;95.5;106;0
2014-06-04;95.5;106;0
2014-06-05;94.25;106;0
2014-06-06;94.25;106;0
2014-06-09;96.5;106;0
2014-06-10;96;106;0
2014-06-11;94.75;106;0
2014-06-12;94.5;106;0
2014-06-13;93.75;106;0
2014-06-16;94.75;105;0
2014-06-17;94.5;105;0
