DATUM;PRIS;SUBSTANSVÄRDE;BERÄKNAT_SUBSTANSVÄRDE
2016-03-10;1.1;1.21;1.21
2016-03-11;1.11;1.21;1.21
2016-03-14;1.11;1.21;1.21
2016-03-15;1.12;1.21;1.21
2016-03-16;1.13;1.21;1.21
2016-03-17;1.14;1.21;1.21
2016-03-18;1.13;1.21;1.21
2016-03-21;1.1;1.21;1.21
2016-03-22;1.13;1.21;1.21
2016-03-23;1.15;1.21;1.21
2016-03-24;1.13;1.21;1.21
2016-03-29;1.1;1.21;1.21
2016-03-30;1.11;1.21;1.21
2016-03-31;1.14;1.21;1.21
2016-04-01;1.13;1.21;1.21
2016-04-04;1.12;1.21;1.21
2016-04-05;1.13;1.21;1.21
2016-04-06;1.12;1.21;1.21
2016-04-07;1.14;1.21;1.21
2016-04-08;1.14;1.21;1.21
2016-04-11;1.13;1.21;1.21
2016-04-12;1.14;1.21;1.21
2016-04-13;1.13;1.21;1.21
2016-04-14;1.13;1.21;1.21
2016-04-15;1.14;1.21;1.21
2016-04-18;1.11;1.21;1.21
2016-04-19;1.12;1.21;1.21
2016-04-20;1.14;1.21;1.21
2016-04-21;1.13;1.21;1.21
2016-04-22;1.11;1.21;1.21
2016-04-25;1.1;1.21;1.21
2016-04-26;1.1;1.21;1.21
2016-04-27;1.12;1.21;1.21
2016-04-28;1.09;1.21;1.21
2016-04-29;1.08;1.21;1.21
2016-05-02;1.07;1.21;1.21
2016-05-03;1.06;1.21;1.21
2016-05-04;1.05;1.21;1.21
2016-05-06;1.02;1.21;1.21
2016-05-09;1.08;1.21;1.21
2016-05-10;1.09;1.21;1.21
2016-05-11;1.09;1.21;1.21
2016-05-12;1.07;1.21;1.21
2016-05-13;1.06;1.21;1.21
2016-05-16;1.06;1.21;1.21
2016-05-17;1.08;1.21;1.21
2016-05-18;1.12;1.21;1.21
2016-05-19;1.12;1.21;1.21
2016-05-20;1.1;1.21;1.21
2016-05-23;1.11;1.21;1.21
2016-05-24;1.11;1.21;1.21
2016-05-25;1.12;1.21;1.21
2016-05-26;1.13;1.21;1.21
2016-05-27;1.1;1.21;1.21
2016-05-30;1.12;1.21;1.21
2016-05-31;1.11;1.21;1.21
2016-06-01;1.07;1.21;1.21
2016-06-02;1.09;1.21;1.21
2016-06-03;1.12;1.21;1.21
2016-06-07;1.13;1.21;1.21
2016-06-08;1.12;1.21;1.21
2016-06-09;1.14;1.21;1.21
2016-06-10;1.1;1.21;1.21
2016-06-13;1.1;1.21;1.21
2016-06-14;1.1;1.21;1.21
2016-06-15;1.09;1.21;1.21
2016-06-16;1.09;1.21;1.21
2016-06-17;1.1;1.21;1.21
2016-06-20;1.1;1.21;1.21
2016-06-21;1.1;1.21;1.21
2016-06-22;1.12;1.21;1.21
2016-06-23;1.13;1.21;1.21
2016-06-27;1.07;1.21;1.21
2016-06-28;1.11;1.21;1.21
2016-06-29;1.11;1.21;1.21
2016-06-30;1.1;1.21;1.21
2016-07-01;1.12;1.21;1.21
2016-07-04;1.14;1.21;1.21
2016-07-05;1.14;1.21;1.21
2016-07-06;1.12;1.21;1.21
2016-07-07;1.1;1.21;1.21
2016-07-08;1.11;1.21;1.21
2016-07-11;1.11;1.21;1.21
2016-07-12;1.1;1.21;1.21
2016-07-13;1.09;1.21;1.21
2016-07-14;1.1;1.21;1.21
2016-07-15;1.12;1.21;1.21
2016-07-18;1.1;1.21;1.21
2016-07-19;1.1;1.21;1.21
2016-07-20;1.11;1.21;1.21
2016-07-21;1.1;1.21;1.21
2016-07-22;1.12;1.21;1.21
2016-07-25;1.13;1.21;1.21
2016-07-26;1.14;1.21;1.21
2016-07-27;1.16;1.21;1.21
2016-07-28;1.17;1.21;1.21
2016-07-29;1.2;1.21;1.21
2016-08-01;1.22;1.21;1.21
2016-08-02;1.24;1.21;1.21
2016-08-03;1.22;1.21;1.21
2016-08-04;1.23;1.21;1.21
2016-08-05;1.23;1.21;1.21
