DATUM;PRIS;SUBSTANSVÄRDE;BERÄKNAT_SUBSTANSVÄRDE
2014-03-03;46;31.74;0
2014-03-04;48.8;43.16;0
2014-03-05;48.5;43.16;0
2014-03-06;48.3;43.16;0
2014-03-07;47.2;43.16;0
2014-03-10;48.6;43.16;0
2014-03-11;48.5;43.16;0
2014-03-12;49;43.16;0
2014-03-13;49.1;43.16;0
2014-03-14;48;43.16;0
2014-03-17;49.2;43.16;0
2014-03-18;51;43.16;0
2014-03-19;50.5;43.16;0
2014-03-20;50.5;43.16;0
2014-03-21;48.5;43.16;0
2014-03-24;46.4;43.16;0
2014-03-25;47.9;43.16;0
2014-03-26;49;43.16;0
2014-03-27;49.4;43.16;0
2014-03-28;50.25;43.16;0
2014-03-31;50.5;43.16;0
2014-04-01;50.5;43.16;0
2014-04-02;52.25;40.45;0
2014-04-03;50.25;40.45;0
2014-04-04;48;40.45;0
2014-04-07;47.6;40.45;0
2014-04-08;47.5;40.45;0
2014-04-09;48.1;40.45;0
2014-04-10;47.2;40.45;0
2014-04-11;45.5;40.45;0
2014-04-14;45.9;40.45;0
2014-04-15;43.5;40.45;0
2014-04-16;44;40.45;0
2014-04-17;44.5;40.45;0
2014-04-18;44.5;40.45;0
2014-04-21;44.5;40.45;0
2014-04-22;45;40.45;0
2014-04-23;45;40.45;0
2014-04-24;45.2;40.45;0
2014-04-25;43.8;40.45;0
2014-04-28;42.4;40.45;0
2014-04-29;42.2;40.45;0
2014-04-30;42.5;40.45;0
2014-05-01;42.5;40.45;0
2014-05-02;43.4;40.45;0
2014-05-05;41.3;38.11;0
2014-05-06;42;38.11;0
2014-05-07;41;38.11;0
2014-05-08;43.3;38.11;0
2014-05-09;43;38.11;0
2014-05-12;42.4;38.11;0
2014-05-13;42.7;38.11;0
2014-05-14;42.5;38.11;0
2014-05-15;42.9;38.11;0
2014-05-16;43.1;38.11;0
2014-05-19;43.9;38.11;0
2014-05-20;44.7;38.11;0
2014-05-21;46;38.11;0
2014-05-22;46.8;38.11;0
2014-05-23;47.1;38.11;0
2014-05-26;48.4;38.11;0
2014-05-27;48.3;38.11;0
2014-05-28;49.7;38.11;0
2014-05-29;49.7;38.11;0
2014-05-30;51.75;38.11;0
2014-06-02;52.25;38.11;0
2014-06-03;52;38.65;0
2014-06-04;51.25;38.65;0
2014-06-05;51.5;38.65;0
2014-06-06;51.5;38.65;0
2014-06-09;52;38.65;0
2014-06-10;52.25;38.65;0
2014-06-11;52.5;38.65;0
2014-06-12;52.5;38.65;0
2014-06-13;52.5;38.65;0
2014-06-16;52.25;38.65;0
2014-06-17;51.5;38.65;0
2014-06-18;52;38.65;0
2014-06-19;52.25;38.65;0
2014-06-20;52.25;38.65;0
2014-06-23;52.25;38.65;0
2014-06-24;51.25;38.65;0
2014-06-25;52.5;38.65;0
2014-06-26;52;38.65;0
2014-06-27;52.75;38.65;0
2014-06-30;52.75;38.65;0
2014-07-01;55;38.65;0
2014-07-02;54.5;38.64;0
2014-07-03;55;38.64;0
2014-07-04;53.25;38.64;0
2014-07-07;53.5;38.64;0
2014-07-08;54.25;38.64;0
2014-07-09;52;38.64;0
2014-07-10;52.25;38.64;0
2014-07-11;51.75;38.64;0
2014-07-14;52;38.64;0
2014-07-15;52.25;38.64;0
2014-07-16;51;38.64;0
2014-07-17;50;38.64;0
2014-07-18;52;38.64;0
2014-07-21;49.6;38.64;0
2014-07-22;49.7;38.64;0
2014-07-23;51.25;38.64;0
2014-07-24;49.9;38.64;0
2014-07-25;50;38.64;0
2014-07-28;51.75;38.64;0
2014-07-29;50.5;38.64;0
2014-07-30;49.4;38.64;0
2014-07-31;50.5;38.64;0
2014-08-01;48.6;38.64;0
2014-08-04;48.3;37.92;0
2014-08-05;47.9;37.92;0
2014-08-06;46.9;37.92;0
2014-08-07;47;37.92;0
2014-08-08;47;37.92;0
2014-08-11;48.5;37.92;0
2014-08-12;49.4;37.92;0
2014-08-13;50.5;37.92;0
2014-08-14;50;37.92;0
2014-08-15;49.3;37.92;0
2014-08-18;51.25;37.92;0
2014-08-19;52;37.92;0
2014-08-20;50;37.92;0
2014-08-21;51;37.92;0
2014-08-22;50.5;37.92;0
2014-08-25;52.75;37.92;0
2014-08-26;52.25;37.92;0
2014-08-27;52;37.92;0
2014-08-28;53;37.92;0
2014-08-29;52.25;37.92;0
2014-09-01;53;37.92;0
2014-09-02;52.5;37.89;0
2014-09-03;52.75;37.89;0
2014-09-04;52.25;37.89;0
2014-09-05;50;37.89;0
2014-09-08;49.7;37.89;0
2014-09-09;49.4;37.89;0
2014-09-10;48.6;37.89;0
2014-09-11;49.1;37.89;0
2014-09-12;48.4;37.89;0
2014-09-15;47.4;37.89;0
2014-09-16;47.8;37.89;0
2014-09-17;48.1;37.89;0
2014-09-18;48.3;37.89;0
2014-09-19;48;37.89;0
2014-09-22;48.5;37.89;0
2014-09-23;48.2;37.89;0
2014-09-24;48.3;37.89;0
2014-09-25;48;37.89;0
2014-09-26;48;37.89;0
2014-09-29;48.7;37.89;0
2014-09-30;45.8;37.89;0
2014-10-01;45;37.89;0
2014-10-02;44;37.73;0
2014-10-03;43.8;37.73;0
2014-10-06;44.4;37.73;0
2014-10-07;41.9;37.73;0
2014-10-08;41.3;37.73;0
2014-10-09;40.9;37.73;0
2014-10-10;39.8;37.73;0
2014-10-13;38.6;37.73;0
2014-10-14;39.5;37.73;0
2014-10-15;37.8;37.73;0
2014-10-16;38;37.73;0
2014-10-17;39.7;37.73;0
2014-10-20;40.2;37.73;0
2014-10-21;40.8;37.73;0
2014-10-22;41.6;37.73;0
2014-10-23;43.5;37.73;0
2014-10-24;42.6;37.73;0
2014-10-27;42.5;37.73;0
2014-10-28;43;37.73;0
2014-10-29;44;37.73;0
2014-10-30;45.6;37.73;0
2014-10-31;47.3;37.73;0
2014-11-03;44.3;37.02;0
2014-11-04;44.3;37.02;0
2014-11-05;44.5;37.02;0
2014-11-06;44;37.02;0
2014-11-07;42.8;37.02;0
2014-11-10;43.5;37.02;0
2014-11-11;43.7;37.02;0
2014-11-12;43.8;37.02;0
2014-11-13;44.3;37.02;0
2014-11-14;42;37.02;0
2014-11-17;40.3;37.02;0
2014-11-18;40.5;37.02;0
2014-11-19;39.5;37.02;0
2014-11-20;39.6;37.02;0
2014-11-21;40.4;37.02;0
2014-11-24;41.6;37.02;0
2014-11-25;41.7;37.02;0
2014-11-26;41.9;37.02;0
2014-11-27;42.5;37.02;0
2014-11-28;42.6;37.02;0
2014-12-01;41.2;37.02;0
2014-12-02;41.6;36.94;0
2014-12-03;40.7;36.94;0
2014-12-04;40.1;36.94;0
